"NA.","X2004","NA..1","NA..2","NA..3"
"Serbia and Montenegro",5.35,NA,NA,NA
"Seychelles",1.5,NA,NA,NA
"Sierra Leone",1.3,NA,NA,NA
"Singapore",1,NA,NA,NA
"Slovak republic",4.3,NA,NA,NA
"Slovenia",1.8,NA,NA,NA
"Solomon Islands",2.7,NA,NA,NA
"Somalia",1,NA,NA,NA
"South Africa",1.05,NA,NA,NA
"Spain",1.12,NA,NA,NA
"Sri Lanka",1.4,NA,NA,NA
"Sudan",1.4,NA,NA,NA
"Suriname",1.9,NA,NA,NA
"Swaziland",0.9,NA,NA,NA
"Sweden",1,NA,NA,NA
"Switzerland",0.86,NA,NA,NA
"Syria",2.3,NA,NA,NA
"Tajikistan",1.2,NA,NA,NA
"Tanzania",0.3,NA,NA,NA
"Thailand",1.6,NA,NA,NA
"Togo",0.3,NA,NA,NA
"Tokelau",4.8,NA,NA,NA
"Tonga",3.1,NA,NA,NA
"Trinidad and Tobago",0.6,NA,NA,NA
"Tunisia",1.3,NA,NA,NA
"Turkey",2.7,NA,NA,NA
"Turkmenistan",2.6,NA,NA,NA
"Tuvalu",2,NA,NA,NA
"Uganda",0.9,NA,NA,NA
"Ukraine",4.4,NA,NA,NA
"United Arab Emirates",1.6,NA,NA,NA
"United Kingdom",0.7,NA,NA,NA
"United States",1.19,NA,NA,NA
"Uruguay",2.5,NA,NA,NA
"Uzbekistan",1.4,NA,NA,NA
"Vanuatu",1.2,NA,NA,NA
"Venezuela",2.1,NA,NA,NA
"Vietnam",1.9,NA,NA,NA
"Yemen, Rep.",3.1,NA,NA,NA
"Zambia",2.3,NA,NA,NA
"Zimbabwe",1.3,NA,NA,NA
NA,NA,NA,NA,NA
